created_at,value_ultrasonic,value_matchface,hour
2024-11-01 03:05:49,1,0,3
2024-11-01 03:05:55,1,0,3
2024-11-01 03:06:01,1,0,3
2024-11-01 03:06:07,1,0,3
2024-11-01 03:06:13,1,0,3
2024-11-01 03:06:19,1,-1,3
2024-11-01 03:06:25,1,0,3
2024-11-01 03:06:31,1,0,3
2024-11-01 03:06:37,1,0,3
2024-11-01 03:06:43,1,0,3
2024-11-01 03:06:49,1,0,3
2024-11-01 03:06:55,1,0,3
2024-11-01 03:07:01,1,0,3
2024-11-01 03:07:07,1,0,3
2024-11-01 03:07:13,1,0,3
2024-11-01 03:07:19,1,0,3
2024-11-01 03:07:25,1,0,3
2024-11-01 03:07:31,1,0,3
2024-11-01 03:07:37,1,0,3
2024-11-01 03:07:43,1,0,3
2024-11-01 03:07:49,1,0,3
2024-11-01 03:07:55,1,0,3
2024-11-01 03:08:01,1,0,3
2024-11-01 03:08:07,1,0,3
2024-11-01 03:08:13,1,0,3
2024-11-01 03:08:19,1,0,3
2024-11-01 03:08:25,1,0,3
2024-11-01 03:08:31,1,0,3
2024-11-01 03:08:37,1,0,3
2024-11-01 03:08:43,1,0,3
2024-11-01 03:08:49,1,0,3
2024-11-01 03:08:55,1,0,3
2024-11-01 03:09:01,1,0,3
2024-11-01 03:09:07,1,0,3
2024-11-01 03:09:13,1,0,3
2024-11-01 03:09:19,1,0,3
2024-11-01 03:09:25,1,0,3
2024-11-01 03:09:31,1,0,3
2024-11-01 03:09:37,1,0,3
2024-11-01 03:09:43,1,0,3
2024-11-01 03:09:49,1,0,3
2024-11-01 03:09:55,1,0,3
2024-11-01 03:10:01,1,0,3
2024-11-01 03:10:07,1,0,3
2024-11-01 03:10:13,1,0,3
2024-11-01 03:10:19,1,0,3
2024-11-01 03:10:25,1,0,3
2024-11-01 03:10:31,1,0,3
2024-11-01 03:10:37,1,0,3
2024-11-01 03:10:43,1,0,3
2024-11-01 03:10:49,1,0,3
2024-11-01 03:10:55,1,0,3
2024-11-01 03:11:01,1,0,3
2024-11-01 03:11:07,1,0,3
2024-11-01 03:11:13,1,0,3
2024-11-01 03:11:19,1,0,3
2024-11-01 03:11:56,1,0,3
2024-11-01 03:12:02,1,0,3
2024-11-01 03:12:08,1,-1,3
2024-11-01 03:12:14,1,0,3
2024-11-01 03:12:20,1,0,3
2024-11-01 03:12:26,1,0,3
2024-11-01 03:12:32,1,0,3
2024-11-01 03:23:38,1,0,3
2024-11-01 03:23:44,1,0,3
2024-11-01 03:23:50,1,0,3
2024-11-01 07:22:07,1,0,7
2024-11-01 07:22:11,1,0,7
2024-11-01 07:22:12,1,0,7
2024-11-01 07:22:13,1,0,7
2024-11-01 07:22:37,1,0,7
2024-11-01 07:22:40,1,0,7
2024-11-01 07:27:29,1,0,7
2024-11-01 07:27:38,1,0,7
2024-11-01 07:27:42,1,0,7
2024-11-01 07:28:11,1,0,7
2024-11-01 07:28:23,1,0,7
2024-11-01 07:28:37,1,0,7
2024-11-01 07:28:48,1,0,7
2024-11-01 07:29:26,1,0,7
2024-11-01 07:29:46,1,0,7
2024-11-01 07:29:47,1,0,7
2024-11-01 07:31:45,1,0,7
2024-11-01 07:31:47,1,0,7
2024-11-01 07:31:47,1,0,7
2024-11-01 07:31:49,1,0,7
2024-11-01 07:33:20,1,0,7
2024-11-01 07:33:21,1,0,7
2024-11-01 07:55:03,1,0,7
2024-11-01 07:59:47,1,0,7
2024-11-01 07:59:53,1,0,7
2024-11-01 08:00:00,1,0,8
2024-11-01 08:10:21,1,0,8
2024-11-01 08:10:28,1,0,8
2024-11-01 08:10:34,1,0,8
2024-11-01 08:10:52,1,0,8
2024-11-01 08:10:58,1,0,8
2024-11-01 08:11:05,1,0,8
2024-11-01 08:23:26,1,0,8
2024-11-01 08:23:33,1,0,8
2024-11-01 08:23:39,1,0,8
2024-11-01 08:23:46,1,0,8
2024-11-01 08:23:52,1,0,8
2024-11-01 08:23:58,1,0,8
2024-11-01 08:24:05,1,0,8
2024-11-01 08:24:11,1,0,8
2024-11-01 08:24:17,1,0,8
2024-11-01 08:24:24,1,0,8
2024-11-01 08:24:30,1,0,8
2024-11-01 08:24:36,1,0,8
2024-11-01 08:24:42,1,0,8
2024-11-01 08:24:49,1,0,8
2024-11-01 08:24:55,1,0,8
2024-11-01 08:25:01,1,0,8
2024-11-01 08:25:08,1,0,8
2024-11-01 08:25:14,1,0,8
2024-11-01 08:25:20,1,0,8
2024-11-01 08:25:27,1,0,8
2024-11-01 08:25:33,1,0,8
2024-11-01 08:25:39,1,0,8
2024-11-01 08:25:46,1,0,8
2024-11-01 08:25:52,1,0,8
2024-11-01 08:25:58,1,0,8
2024-11-01 08:26:05,1,0,8
2024-11-01 08:26:11,1,0,8
